         1539948 function calls (1534962 primitive calls) in 20.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7583    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
     4573    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       80    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     2285    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
     4571    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/subprocess.py:1(<module>)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.13/multiprocessing/process.py:110(start)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.13/multiprocessing/process.py:142(join)
     4904    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/managers.py:964(MakeProxyType)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.13/multiprocessing/popen_fork.py:37(wait)
       92    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     1133    0.001    0.000    0.001    0.000 /usr/lib/python3.13/weakref.py:105(remove)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.13/multiprocessing/context.py:279(_Popen)
     1492    0.001    0.000    0.001    0.000 {method 'box' of '_curses.window' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/multiprocessing/connection.py:1134(wait)
     1134    0.001    0.000    0.001    0.000 /usr/lib/python3.13/weakref.py:347(__new__)
      372    0.001    0.000    0.001    0.000 {built-in method _curses.doupdate}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/selectors.py:385(select)
        1    0.001    0.001    0.001    0.001 {method 'poll' of 'select.poll' objects}
     4570    0.001    0.000    0.001    0.000 {method 'find' of 'bytes' objects}
     2274    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
     1134    0.001    0.000    0.001    0.000 /usr/lib/python3.13/weakref.py:352(__init__)
     1492    0.001    0.000    0.001    0.000 {method 'resize' of '_curses.window' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/popen_fork.py:16(__init__)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/popen_fork.py:63(_launch)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/managers.py:986(AutoProxy)
        7    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1318(create_module)
     2285    0.001    0.000    0.001    0.000 {built-in method _hashlib.compare_digest}
     1130    0.000    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/util.py:445(__enter__)
     4698    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     1130    0.001    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/util.py:448(__exit__)
        7    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
     2285    0.001    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/connection.py:84(_validate_family)
        2    0.001    0.000    0.001    0.000 {built-in method posix.fork}
     4570    0.001    0.000    0.001    0.000 /usr/lib/python3.13/hmac.py:139(_current)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/multiprocessing/resource_tracker.py:1(<module>)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.13/multiprocessing/managers.py:809(_connect)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
     1191    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa15020}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/traceback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/locale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:1(<module>)
     2269    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/context.py:222(_Popen)
      473    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/spawn.py:1(<module>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/bz2.py:1(<module>)
      2/1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1171(exec_module)
     3360    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:37(current_process)
     1195    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1289    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     1182    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
     1136    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
     2276    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:49(debug)
     2285    0.000    0.000    0.000    0.000 {function socket.detach at 0x70dc6ba2eac0}
     2285    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:240(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen runpy>:1(<module>)
      746    0.000    0.000    0.000    0.000 {method 'mvwin' of '_curses.window' objects}
     1144    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:287(compile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:330(_compile)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:743(compile)
     1132    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
     2285    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:237(__enter__)
      145    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     1167    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
     1120    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:213(authkey)
       28    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
     1134    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     1119    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:74(__setstate__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/curses/__init__.py:25(initscr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/lzma.py:1(<module>)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:1(<module>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1133    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:45(sub_debug)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_colorize.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
     1132    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:970(parse)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/collections/__init__.py:358(namedtuple)
      4/1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:451(_parse_sub)
